distance,velocity,variation_velocity,risk
128.90,-80.80,-101.10,1
107.60,21.30,102.00,2
88.50,19.13,-2.10,3
268.40,0.00,-19.10,1
190.30,78.10,78.10,1
192.60,-2.30,-80.30,1
116.80,75.80,78.00,2
117.00,-0.20,-75.90,1
106.30,10.70,10.80,1
78.20,28.13,17.50,3
433.60,0.00,-28.10,1
367.80,65.80,65.80,1
273.60,94.20,28.40,1
287.00,-13.40,-107.60,1
119.40,167.60,181.00,3
165.80,-46.40,-214.00,1
123.50,42.30,88.70,2
84.80,38.70,-3.60,3
70.00,14.80,-23.90,3
91.40,-21.30,-36.10,2
75.00,16.40,37.70,3
203.10,0.00,-16.40,1
136.60,66.50,66.50,2
113.80,22.80,-43.80,2
90.20,23.60,0.90,3
443.10,0.00,-23.60,1
387.10,56.00,56.00,1
305.00,82.20,26.20,1
123.80,181.20,99.10,3
208.50,-84.70,-265.90,1
184.30,24.20,108.80,1
152.40,31.90,7.80,2
127.50,24.90,-7.00,2
116.30,11.20,-13.80,2
137.60,-21.30,-32.50,2
162.70,-25.10,-3.80,1
410.10,0.00,25.13,1
365.20,44.90,44.90,1
318.60,46.60,1.60,1
262.40,56.20,9.60,1
223.50,39.00,-17.20,1
197.80,25.70,-13.30,1
162.40,35.40,9.70,1
137.30,25.13,-10.20,2
108.80,28.50,3.40,2
89.90,18.90,-9.60,3
71.00,18.90,0.00,3
70.20,0.80,-18.20,3
124.20,-54.00,-54.70,1
59.80,64.40,118.30,3
501.40,0.00,-64.40,1
319.00,182.40,182.40,1
199.60,119.40,-63.00,1
168.60,31.00,-88.30,1
144.00,24.60,-6.50,2
125.30,18.70,-5.90,2
111.40,13.90,-4.70,2
75.30,36.10,22.20,3
408.80,0.00,-36.10,1
359.90,48.90,48.90,1
310.70,49.30,0.30,1
271.20,39.40,-9.80,1
235.30,35.90,-3.50,1
160.40,75.00,39.10,1
126.50,33.90,-41.10,2
102.60,24.00,-9.90,2
390.70,0.00,-24.00,1
139.30,251.30,251.30,3
105.00,34.40,-217.00,2
255.00,0.00,-34.40,1
121.00,134.00,134.00,2
372.30,0.00,-134.00,1
341.90,30.40,30.40,1
290.30,51.60,21.20,1
162.70,127.70,76.10,1
191.30,-28.70,-156.30,1
136.20,55.10,83.80,2
113.10,23.13,-32.00,2
164.20,-51.10,-74.20,1
451.20,0.00,51.10,1
316.80,134.30,134.30,2
278.20,38.70,-95.70,1
236.00,42.20,3.50,1
196.40,39.60,-2.50,1
110.10,86.30,46.70,3
87.90,22.20,-64.10,3
71.70,16.20,-5.90,3
416.70,0.00,-16.20,1
361.00,55.70,55.70,1
326.40,34.60,-21.10,1
278.50,47.90,13.30,1
248.80,29.70,-18.20,1
182.50,66.30,36.60,2
126.60,55.90,-10.30,2
112.70,13.90,-42.00,2
451.20,0.00,-13.90,1
316.80,134.30,134.30,2
278.20,38.70,-95.70,1
236.00,42.20,3.50,1
196.40,39.60,-2.50,1
110.10,86.30,46.70,3
87.90,22.20,-64.10,3
71.70,16.20,-5.90,3
494.70,0.00,-16.20,1
203.70,291.00,291.00,3
154.30,49.40,-241.70,2
131.00,23.30,-26.10,2
109.10,21.90,-1.40,2
435.30,0.00,-21.90,1
378.60,56.70,56.70,1
323.90,54.80,-1.90,1
280.00,43.80,-10.90,1
189.80,90.20,46.40,1
122.80,67.00,-23.20,2
94.60,28.20,-38.90,2
65.90,28.70,0.50,3
353.40,0.00,-28.70,1
97.60,255.90,255.90,3
304.40,0.00,-255.90,1
266.80,37.60,37.60,1
93.80,173.00,135.40,3
380.00,0.00,-173.00,1
195.20,184.80,184.80,3
156.40,38.80,-145.90,2
123.40,33.00,-5.80,2
212.10,-88.70,-121.70,2
122.90,89.20,177.90,3
149.50,-26.60,-115.80,2
121.90,27.60,54.20,2
469.10,0.00,-27.60,1
394.00,75.10,75.10,1
329.10,64.90,-10.20,1
285.80,43.30,-21.70,1
227.60,58.20,14.90,1
185.00,42.60,-15.60,2
149.90,35.10,-7.50,2
115.30,34.60,-0.60,2
86.00,29.30,-5.20,3
61.90,24.13,-5.30,3
61.70,0.30,-23.80,3
252.10,0.00,-0.30,1
160.10,92.10,92.10,2
101.90,58.20,-33.90,3
75.50,26.50,-31.70,3
426.60,0.00,-26.50,1
141.00,285.60,285.60,3
503.70,0.00,-285.60,1
371.80,132.00,132.00,1
328.30,43.50,-88.50,1
248.00,80.30,36.90,1
209.30,38.70,-41.60,1
174.80,34.50,-4.30,2
103.10,71.70,37.20,2
3.80,99.30,27.70,3
131.30,0.00,-99.30,2
89.00,42.30,42.30,3
500.50,0.00,-42.30,1
502.10,-1.60,-1.60,1
90.30,411.80,413.30,3
371.40,0.00,-411.80,1
287.10,84.30,84.30,1
219.90,67.20,-17.10,1
157.80,62.10,-5.20,2
108.10,49.70,-12.30,2
377.30,0.00,-49.70,1
270.00,107.40,107.40,3
85.10,184.80,77.50,3
588.20,0.00,-184.80,1
409.40,178.70,178.70,2
408.20,1.20,-177.50,1
160.50,247.70,246.50,3
106.40,54.10,-193.60,3
509.90,0.00,-54.10,1
378.40,131.50,131.50,2
192.50,185.90,54.40,3
179.20,13.40,-172.60,1
125.10,54.00,40.70,2
191.20,-66.00,-120.10,1
333.30,0.00,66.00,1
489.10,0.00,0.00,1
311.20,177.90,177.90,3
258.20,53.10,-124.80,1
204.60,53.60,0.60,1
116.40,88.20,34.60,3
200.80,-84.40,-172.60,1
384.20,0.00,84.40,1
319.10,65.10,65.10,1
232.30,86.80,21.70,1
172.00,60.30,-26.50,2
119.80,52.20,-8.10,3
85.80,34.00,-18.20,3
267.90,0.00,-34.00,1
209.80,58.10,58.10,1
147.70,62.10,4.00,2
365.80,0.00,-62.10,1
413.10,-47.30,-47.30,1
91.60,0.00,47.30,3
439.70,0.00,0.00,1
360.10,79.60,79.60,1
182.20,177.90,98.30,3
132.90,49.40,-128.50,2
85.30,47.60,-1.80,3
215.70,0.00,-47.60,1
352.30,0.00,0.00,1
248.10,104.20,104.20,2
484.70,0.00,-104.20,1
184.70,300.00,300.00,3
132.80,51.90,-248.10,2
194.00,-61.30,-113.20,1
159.10,35.00,96.20,2
135.40,23.70,-11.30,2
432.70,0.00,-23.70,1
342.20,90.40,90.40,1
283.90,58.40,-32.00,1
135.10,148.80,90.40,3
181.00,-45.90,-194.70,1
136.10,44.90,90.80,2
101.80,34.30,-10.60,2
77.90,23.80,-10.50,3
269.10,0.00,-23.80,1
125.50,143.50,143.50,3
85.10,40.50,-103.10,3
196.20,0.00,-40.50,1
87.20,109.00,109.00,3
409.00,0.00,-109.00,1
275.00,134.00,134.00,3
126.70,148.30,14.30,3
169.10,-42.40,-190.70,2
90.60,78.50,120.90,3
599.60,0.00,-78.50,1
362.00,237.60,237.60,3
101.40,260.60,23.00,3
104.80,-3.40,-264.00,2
190.70,-85.90,-82.50,1
150.70,39.90,125.80,2
117.50,33.20,-6.70,2
460.60,0.00,-33.20,1
354.90,105.70,105.70,2
268.90,86.00,-19.70,1
212.50,56.40,-29.60,1
161.20,51.30,-5.10,2
112.20,49.00,-2.30,2
73.60,38.60,-10.40,3
55.60,18.00,-20.50,3
3.80,51.90,33.80,3
239.90,0.00,-51.90,1
113.10,126.80,126.80,3
472.30,0.00,-126.80,1
219.20,253.20,253.20,3
125.20,93.90,-159.30,3
446.60,0.00,-93.90,1
374.90,71.80,71.80,1
310.20,64.70,-7.10,1
218.70,91.50,26.90,2
159.20,59.50,-32.00,2
3.80,155.40,95.90,3
136.80,0.00,-155.40,2
95.40,41.40,41.40,3
426.60,0.00,-41.40,1
318.50,108.10,108.10,2
154.40,164.10,56.00,3
104.20,50.30,-113.80,2
179.90,-75.80,-126.00,2
140.80,39.20,114.90,2
173.90,-33.10,-72.30,2
434.20,0.00,33.10,1
300.60,133.50,133.50,2
244.30,56.40,-77.20,1
188.00,56.30,-0.10,2
137.80,50.20,-6.10,2
93.30,44.50,-5.60,3
57.90,35.40,-9.10,3
48.40,9.60,-25.80,3
252.30,0.00,-9.60,1
209.70,42.60,42.60,2
139.10,70.60,27.90,2
81.80,57.30,-13.30,3
548.30,0.00,-57.30,1
332.70,215.60,215.60,3
202.80,129.90,-85.60,3
110.40,92.40,-37.60,3
83.60,26.80,-65.60,3
376.60,0.00,-26.80,1
251.20,125.50,125.50,3
212.50,38.70,-86.80,1
110.20,102.40,63.70,3
170.50,-60.30,-162.70,2
96.70,73.80,134.10,3
0.00,96.70,23.00,3
412.10,0.00,-96.70,1
346.00,66.10,66.10,1
298.40,47.60,-18.50,1
261.40,37.10,-10.50,1
128.70,132.70,95.60,3
89.80,38.90,-93.80,3
67.20,22.60,-16.30,3
600.20,0.00,-22.60,1
561.80,38.40,38.40,1
378.00,183.80,145.50,3
296.90,81.00,-102.80,1
218.60,78.40,-2.70,2
165.50,53.00,-25.30,2
119.10,46.40,-6.60,2
76.30,42.80,-3.60,3
217.70,0.00,-42.80,1
164.40,53.30,53.30,2
94.40,69.90,16.60,3
275.00,0.00,-69.90,1
92.70,182.30,182.30,3
552.80,0.00,-182.30,1
496.70,56.10,56.10,1
283.70,212.90,156.80,3
226.50,57.30,-155.60,1
178.30,48.10,-9.20,2
94.70,83.60,35.50,3
410.70,0.00,-83.60,1
334.80,75.90,75.90,1
288.80,46.00,-29.90,1
209.30,79.50,33.50,2
124.70,84.50,5.13,2
92.50,32.20,-52.30,3
268.10,0.00,-32.20,1
299.70,-31.60,-31.60,1
274.10,25.60,57.20,1
216.10,58.00,32.40,1
163.30,52.80,-5.20,2
73.40,89.90,37.10,3
228.30,0.00,-89.90,1
185.40,42.90,42.90,2
85.80,99.60,56.80,3
427.70,0.00,-99.60,1
325.40,102.20,102.20,2
203.80,121.70,19.40,2
68.70,135.10,13.40,3
345.40,0.00,-135.10,1
257.70,87.70,87.70,1
522.80,0.00,-87.70,1
429.80,93.00,93.00,1
432.10,-2.30,-95.20,1
113.40,318.70,320.90,3
88.90,24.40,-294.30,3
76.20,12.80,-11.70,3
70.40,5.80,-7.00,3
69.90,0.50,-5.30,3
68.10,1.80,1.30,3
67.40,0.70,-1.10,3
69.40,-2.00,-2.70,3
314.10,0.00,2.00,1
308.90,5.20,5.20,1
264.60,44.30,39.00,1
208.70,56.00,11.70,1
157.50,51.20,-4.70,2
111.20,46.30,-4.90,2
71.90,39.30,-7.00,3
44.60,27.30,-12.00,3
32.80,11.80,-15.50,3
31.80,1.13,-10.80,3
45.10,-13.30,-14.40,3
266.70,0.00,13.30,1
126.20,140.50,140.50,2
81.10,45.10,-95.40,3
99.70,-18.60,-63.70,3
64.10,35.60,54.20,3
67.20,-3.10,-38.80,3
324.90,0.00,3.13,1
273.20,51.70,51.70,1
107.50,165.60,113.90,2
101.60,5.90,-159.70,2
77.50,24.20,18.30,3
31.80,45.60,21.50,3
167.40,0.00,-45.60,2
96.50,70.90,70.90,3
64.70,31.80,-39.10,3
65.20,-0.60,-32.40,3
543.60,0.00,0.60,1
258.00,285.60,285.60,3
141.30,116.70,-168.90,3
97.10,44.20,-72.60,3
127.40,-30.30,-74.50,2
97.90,29.50,59.90,3
141.20,-43.30,-72.80,2
151.70,-10.60,32.70,2
145.50,6.20,16.80,2
544.20,0.00,-6.20,1
348.30,195.90,195.90,3
269.90,78.40,-117.50,1
212.10,57.80,-20.60,1
154.80,57.30,-0.50,2
105.70,49.10,-8.10,2
65.10,40.50,-8.60,3
46.70,18.40,-22.10,3
244.10,0.00,-18.40,1
157.40,86.60,86.60,2
76.30,81.20,-5.50,3
367.00,0.00,-81.20,1
293.80,73.30,73.30,1
164.30,129.50,56.20,3
113.30,51.10,-78.40,2
72.60,40.70,-10.30,3
44.60,28.00,-12.70,3
31.30,13.30,-14.70,3
